type,timestamp,wall_ts,wall_time_iso,angle,distance,snr_db,coherence,diameter_m,update_flag,error_plane_us,error_near_us,rho_hat,valid,loudness_db,loudness_rms,loudness_peak_abs,sound_pressure_level_dbfs,frame_rms,peak_abs
data,0.021333333333333333,1776432467.8087518,2026-04-17T21:27:47.808+08:00,12.521269040440615,0.3093626216598029,-180.0,0.2,0.12,0,215.9708108344734,483.44936839592685,0.8991909468899889,False,-240.0,1e-12,0.0,-240.0,1e-12,0.0
data,0.042666666666666665,1776432467.8166287,2026-04-17T21:27:47.816+08:00,22.633700300253963,0.32799587892859294,-180.0,0.2,0.12,0,215.9708108344734,483.4233560192239,0.8644407872034993,False,-240.0,1e-12,0.0,-240.0,1e-12,0.0
data,0.064,1776432467.8391762,2026-04-17T21:27:47.839+08:00,31.111622975418356,0.35617366094878755,-180.0,0.2,0.12,0,215.9708108344734,483.4594302318334,0.9108829747188334,False,-240.0,1e-12,0.0,-240.0,1e-12,0.0
data,0.08533333333333333,1776432467.8563712,2026-04-17T21:27:47.856+08:00,38.13001563110453,0.39288817806086207,-180.0,0.2,0.12,0,215.9708108344734,483.4938415504405,0.9827784579089349,False,-240.0,1e-12,0.0,-240.0,1e-12,0.0
data,0.10666666666666667,1776432467.8768656,2026-04-17T21:27:47.876+08:00,43.87934640611164,0.4378554375583996,-180.0,0.2,0.12,0,215.9708108344734,483.530594272289,1.0773924398093406,False,-240.0,1e-12,0.0,-240.0,1e-12,0.0
data,0.128,1776432467.8973238,2026-04-17T21:27:47.897+08:00,48.57535155306516,0.49084565801636687,-180.0,0.2,0.12,0,215.9708108344734,483.5569424575114,1.1907702848743136,False,-240.0,1e-12,0.0,-240.0,1e-12,0.0
data,0.14933333333333335,1776432467.918011,2026-04-17T21:27:47.918+08:00,52.36181890652634,0.5523251165333183,-180.0,0.2,0.12,0,215.9708108344734,483.5914594502208,1.325170515812427,False,-240.0,1e-12,0.0,-240.0,1e-12,0.0
data,0.17066666666666666,1776432467.948365,2026-04-17T21:27:47.948+08:00,55.39523360974317,0.6220626138592348,-180.0,0.2,0.12,0,215.9708108344734,483.6183740475045,1.4718377704720722,False,-240.0,1e-12,0.0,-240.0,1e-12,0.0
data,0.192,1776432467.968286,2026-04-17T21:27:47.968+08:00,57.784856684715976,0.6959612883538705,-180.0,0.2,0.12,0,215.9708108344734,483.62785598214737,1.5804185778405047,False,-240.0,1e-12,0.0,-240.0,1e-12,0.0
data,0.21333333333333335,1776432467.9884956,2026-04-17T21:27:47.988+08:00,59.535171214601746,0.7706418123135761,-180.0,0.2,0.12,0,215.9708108344734,483.65616300278674,1.6513964123407663,False,-240.0,1e-12,0.0,-240.0,1e-12,0.0
data,0.23466666666666666,1776432468.007762,2026-04-17T21:27:48.007+08:00,60.867307344107786,0.8480294044367591,-180.0,0.2,0.12,0,215.9708108344734,483.6704234550199,1.7525350513802356,False,-240.0,1e-12,0.0,-240.0,1e-12,0.0
data,0.256,1776432468.0268438,2026-04-17T21:27:48.026+08:00,61.99361614747917,0.9192022621348667,-180.0,0.2,0.12,0,215.9708108344734,483.65809266652326,1.7501047795765083,False,-240.0,1e-12,0.0,-240.0,1e-12,0.0
data,0.2773333333333333,1776432468.0453558,2026-04-17T21:27:48.045+08:00,-48.56581309402091,0.4030075069299161,-59.105591017420835,8.0,0.12,1,138.00147227941295,137.6979286749953,0.9192022606747838,True,-40.352757782005675,0.00960200904865158,0.033236454662030346,-53.3646592337296,0.0021466786565190058,0.0045166015625
